as_of_year,damodaran_industry,unlevered_beta,d_e_ratio,tax_rate,num_firms,source_url
2024,Advertising,0.93,0.36,0.08,41,https://pages.stern.nyu.edu/~adamodar/
2024,Aerospace/Defense,1.07,0.23,0.11,72,https://pages.stern.nyu.edu/~adamodar/
2024,Air Transport,1.11,0.82,0.17,17,https://pages.stern.nyu.edu/~adamodar/
2024,Apparel,0.89,0.34,0.14,42,https://pages.stern.nyu.edu/~adamodar/
2024,Auto & Truck,0.99,1.31,0.10,25,https://pages.stern.nyu.edu/~adamodar/
2024,Auto Parts,1.08,0.41,0.14,52,https://pages.stern.nyu.edu/~adamodar/
2024,Bank (Money Center),0.47,2.69,0.19,9,https://pages.stern.nyu.edu/~adamodar/
2024,Banks (Regional),0.42,1.02,0.21,549,https://pages.stern.nyu.edu/~adamodar/
2024,Beverage (Alcoholic),0.70,0.27,0.17,25,https://pages.stern.nyu.edu/~adamodar/
2024,Beverage (Soft),0.66,0.26,0.20,28,https://pages.stern.nyu.edu/~adamodar/
2024,Broadcasting,0.86,0.88,0.17,23,https://pages.stern.nyu.edu/~adamodar/
2024,Brokerage & Investment Banking,0.81,1.58,0.16,31,https://pages.stern.nyu.edu/~adamodar/
2024,Building Materials,1.03,0.30,0.18,45,https://pages.stern.nyu.edu/~adamodar/
2024,Business & Consumer Services,0.99,0.31,0.14,159,https://pages.stern.nyu.edu/~adamodar/
2024,Cable TV,0.86,0.66,0.20,10,https://pages.stern.nyu.edu/~adamodar/
2024,Chemical (Basic),0.97,0.34,0.14,38,https://pages.stern.nyu.edu/~adamodar/
2024,Chemical (Diversified),1.13,0.24,0.17,6,https://pages.stern.nyu.edu/~adamodar/
2024,Chemical (Specialty),0.99,0.28,0.14,87,https://pages.stern.nyu.edu/~adamodar/
2024,Coal & Related Energy,1.24,0.37,0.09,20,https://pages.stern.nyu.edu/~adamodar/
2024,Computer Services,1.02,0.29,0.12,106,https://pages.stern.nyu.edu/~adamodar/
2024,Computers/Peripherals,1.26,0.14,0.10,50,https://pages.stern.nyu.edu/~adamodar/
2024,Construction Supplies,1.06,0.43,0.18,47,https://pages.stern.nyu.edu/~adamodar/
2024,Diversified,0.85,0.45,0.14,23,https://pages.stern.nyu.edu/~adamodar/
2024,Drugs (Biotechnology),1.18,0.16,0.03,563,https://pages.stern.nyu.edu/~adamodar/
2024,Drugs (Pharmaceutical),0.93,0.14,0.08,271,https://pages.stern.nyu.edu/~adamodar/
2024,Education,0.96,0.33,0.12,30,https://pages.stern.nyu.edu/~adamodar/
2024,Electrical Equipment,1.16,0.17,0.12,108,https://pages.stern.nyu.edu/~adamodar/
2024,Electronics (Consumer & Office),1.04,0.13,0.10,19,https://pages.stern.nyu.edu/~adamodar/
2024,Electronics (General),1.08,0.16,0.09,145,https://pages.stern.nyu.edu/~adamodar/
2024,Engineering/Construction,1.06,0.33,0.16,46,https://pages.stern.nyu.edu/~adamodar/
2024,Entertainment,1.02,0.31,0.11,93,https://pages.stern.nyu.edu/~adamodar/
2024,Environmental & Waste Services,0.87,0.43,0.17,68,https://pages.stern.nyu.edu/~adamodar/
2024,Farming/Agriculture,0.77,0.53,0.12,33,https://pages.stern.nyu.edu/~adamodar/
2024,Financial Svcs. (Non-bank & Insurance),0.55,2.05,0.12,223,https://pages.stern.nyu.edu/~adamodar/
2024,Food Processing,0.66,0.31,0.17,84,https://pages.stern.nyu.edu/~adamodar/
2024,Food Wholesalers,0.67,0.40,0.19,14,https://pages.stern.nyu.edu/~adamodar/
